AVID
time,open,high,low,close,volume
2019-10-28 09:31:00,6.61,6.61,6.61,6.61,2607.0
2019-10-28 09:36:00,6.67,6.68,6.67,6.68,3934.0
2019-10-28 09:37:00,6.7,6.7,6.7,6.7,1745.0
2019-10-28 09:40:00,6.7,6.7,6.7,6.7,1600.0
2019-10-28 09:41:00,6.71,6.71,6.71,6.71,600.0
2019-10-28 09:42:00,6.73,6.73,6.73,6.73,1682.0
2019-10-28 09:43:00,6.71,6.71,6.71,6.71,2474.0
2019-10-28 09:44:00,6.7185,6.7185,6.71,6.71,238.0
2019-10-28 09:46:00,6.71,6.71,6.71,6.71,1711.0
2019-10-28 09:47:00,6.7,6.7,6.7,6.7,100.0
2019-10-28 09:48:00,6.7,6.7,6.7,6.7,200.0
2019-10-28 09:49:00,6.7,6.71,6.7,6.7,1086.0
2019-10-28 09:51:00,6.71,6.71,6.71,6.71,2410.0
2019-10-28 09:53:00,6.71,6.71,6.71,6.71,0.0
2019-10-28 09:55:00,6.7379,6.7379,6.7379,6.7379,21835.0
2019-10-28 09:56:00,6.74,6.74,6.74,6.74,1501.0
2019-10-28 09:57:00,6.77,6.77,6.77,6.77,1186.0
2019-10-28 09:58:00,6.78,6.78,6.78,6.78,200.0
2019-10-28 10:01:00,6.7615,6.79,6.7615,6.79,1535.0
2019-10-28 10:02:00,6.795,6.795,6.795,6.795,874.0
2019-10-28 10:03:00,6.8,6.82,6.8,6.82,1458.0
2019-10-28 10:04:00,6.8103,6.8165,6.7865,6.7903,2996.0
2019-10-28 10:07:00,6.79,6.79,6.79,6.79,100.0
2019-10-28 10:08:00,6.79,6.79,6.79,6.79,100.0
2019-10-28 10:09:00,6.79,6.79,6.79,6.79,100.0
2019-10-28 10:11:00,6.78,6.8,6.78,6.8,1300.0
2019-10-28 10:14:00,6.8,6.81,6.8,6.81,710.0
2019-10-28 10:17:00,6.82,6.85,6.82,6.845,2037.0
2019-10-28 10:18:00,6.83,6.83,6.81,6.81,916.0
2019-10-28 10:24:00,6.82,6.83,6.82,6.82,1265.0
2019-10-28 10:25:00,6.8162,6.8162,6.81,6.81,600.0
2019-10-28 10:26:00,6.8201,6.8254,6.8054,6.8101,5630.0
2019-10-28 10:27:00,6.8103,6.8164,6.7864,6.8003,2632.0
2019-10-28 10:29:00,6.8021,6.8079,6.7959,6.8001,1046.0
2019-10-28 10:30:00,6.7966,6.7966,6.7966,6.7966,500.0
2019-10-28 10:31:00,6.79,6.7973,6.79,6.7973,603.0
2019-10-28 10:32:00,6.79,6.79,6.79,6.79,100.0
2019-10-28 10:34:00,6.81,6.82,6.805,6.82,2101.0
2019-10-28 10:35:00,6.8201,6.8254,6.8154,6.8201,2787.0
2019-10-28 10:36:00,6.82,6.82,6.815,6.815,432.0
2019-10-28 10:37:00,6.82,6.82,6.82,6.82,100.0
2019-10-28 10:38:00,6.8183,6.835,6.8183,6.835,2232.0
2019-10-28 10:39:00,6.83,6.83,6.825,6.825,930.0
2019-10-28 10:41:00,6.825,6.825,6.82,6.825,1120.0
2019-10-28 10:42:00,6.82,6.82,6.82,6.82,121.0
2019-10-28 10:44:00,6.815,6.815,6.815,6.815,200.0
2019-10-28 10:46:00,6.82,6.83,6.82,6.83,1086.0
2019-10-28 10:47:00,6.84,6.84,6.84,6.84,300.0
2019-10-28 10:48:00,6.83,6.83,6.82,6.82,1252.0
2019-10-28 10:49:00,6.8203,6.8266,6.8166,6.8203,618.0
2019-10-28 10:50:00,6.82,6.82,6.82,6.82,1040.0
