BGG
time,open,high,low,close,volume
2019-10-28 09:31:00,7.11,7.16,7.11,7.16,10230.0
2019-10-28 09:34:00,7.155,7.24,7.155,7.1876,3431.0
2019-10-28 09:35:00,7.21,7.23,7.21,7.23,427.0
2019-10-28 09:36:00,7.2302,7.2774,7.2234,7.2502,9864.0
2019-10-28 09:37:00,7.22,7.22,7.21,7.21,528.0
2019-10-28 09:38:00,7.19,7.19,7.1789,7.1789,850.0
2019-10-28 09:39:00,7.1706,7.1721,7.1706,7.1721,1100.0
2019-10-28 09:40:00,7.17,7.2,7.17,7.19,1500.0
2019-10-28 09:41:00,7.19,7.19,7.19,7.19,100.0
2019-10-28 09:42:00,7.19,7.19,7.19,7.19,289.0
2019-10-28 09:43:00,7.1602,7.167,7.147,7.1502,3473.0
2019-10-28 09:44:00,7.15,7.16,7.15,7.16,811.0
2019-10-28 09:46:00,7.15,7.15,7.15,7.15,1002.0
2019-10-28 09:47:00,7.14,7.2,7.14,7.185,12211.0
2019-10-28 09:48:00,7.2,7.2,7.19,7.19,1074.0
2019-10-28 09:49:00,7.2201,7.2763,7.2162,7.2701,6722.0
2019-10-28 09:50:00,7.2403,7.247,7.2169,7.2201,1211.0
2019-10-28 09:51:00,7.2153,7.2369,7.1869,7.1903,9779.0
2019-10-28 09:52:00,7.1902,7.2071,7.177,7.1902,22261.0
2019-10-28 09:53:00,7.18,7.19,7.17,7.17,2845.0
2019-10-28 09:54:00,7.18,7.18,7.173,7.173,383.0
2019-10-28 09:57:00,7.17,7.173,7.17,7.173,1139.0
2019-10-28 09:59:00,7.1652,7.182,7.1369,7.1702,23905.0
2019-10-28 10:00:00,7.17,7.17,7.15,7.15,744.0
2019-10-28 10:01:00,7.1501,7.1562,7.1061,7.1101,29899.0
2019-10-28 10:02:00,7.11,7.17,7.11,7.16,16298.0
2019-10-28 10:03:00,7.16,7.2,7.16,7.19,8433.0
2019-10-28 10:04:00,7.2,7.2,7.165,7.1699,28507.0
2019-10-28 10:05:00,7.1702,7.177,7.127,7.1302,9305.0
2019-10-28 10:06:00,7.13,7.16,7.13,7.15,11392.0
2019-10-28 10:07:00,7.14,7.19,7.14,7.17,28705.0
2019-10-28 10:08:00,7.1799,7.185,7.17,7.17,4644.0
2019-10-28 10:09:00,7.1687,7.1767,7.1667,7.1703,1387.0
2019-10-28 10:10:00,7.17,7.18,7.17,7.17,5634.0
2019-10-28 10:11:00,7.15,7.17,7.15,7.17,1290.0
2019-10-28 10:12:00,7.165,7.18,7.165,7.17,3277.0
2019-10-28 10:13:00,7.17,7.17,7.16,7.16,2151.0
2019-10-28 10:14:00,7.14,7.16,7.14,7.1485,4850.0
2019-10-28 10:15:00,7.16,7.17,7.15,7.15,5060.0
2019-10-28 10:16:00,7.15,7.15,7.14,7.14,429.0
2019-10-28 10:17:00,7.1301,7.1446,7.1256,7.1391,559.0
2019-10-28 10:18:00,7.13,7.13,7.11,7.11,1484.0
2019-10-28 10:19:00,7.1203,7.1362,7.1166,7.1203,3133.0
2019-10-28 10:20:00,7.12,7.13,7.12,7.13,1954.0
2019-10-28 10:21:00,7.12,7.12,7.12,7.12,505.0
2019-10-28 10:22:00,7.1303,7.1368,7.1268,7.1303,1885.0
2019-10-28 10:23:00,7.1302,7.147,7.127,7.1397,1899.0
2019-10-28 10:25:00,7.15,7.16,7.145,7.16,1204.0
2019-10-28 10:26:00,7.17,7.17,7.15,7.15,2849.0
2019-10-28 10:27:00,7.16,7.16,7.15,7.15,404.0
2019-10-28 10:29:00,7.1531,7.16,7.1531,7.155,793.0
2019-10-28 10:31:00,7.155,7.16,7.145,7.145,3787.0
2019-10-28 10:32:00,7.135,7.145,7.135,7.14,1171.0
2019-10-28 10:33:00,7.14,7.15,7.14,7.15,390.0
2019-10-28 10:34:00,7.15,7.15,7.15,7.15,1205.0
2019-10-28 10:36:00,7.15,7.15,7.15,7.15,493.0
2019-10-28 10:37:00,7.15,7.1507,7.15,7.1507,527.0
2019-10-28 10:39:00,7.1502,7.157,7.1369,7.1452,3867.0
2019-10-28 10:40:00,7.145,7.17,7.14,7.17,4984.0
2019-10-28 10:41:00,7.165,7.17,7.165,7.1699,1470.0
2019-10-28 10:42:00,7.17,7.17,7.17,7.17,101.0
2019-10-28 10:43:00,7.167,7.167,7.167,7.167,300.0
2019-10-28 10:44:00,7.16,7.16,7.16,7.16,973.0
2019-10-28 10:46:00,7.1505,7.16,7.1505,7.16,427.0
2019-10-28 10:47:00,7.15,7.155,7.15,7.155,200.0
2019-10-28 10:48:00,7.155,7.2,7.155,7.2,3167.0
2019-10-28 10:49:00,7.19,7.19,7.19,7.19,100.0
2019-10-28 10:50:00,7.19,7.2,7.18,7.18,19127.0
2019-10-28 10:51:00,7.2,7.21,7.2,7.2,1063.0
2019-10-28 10:54:00,7.195,7.195,7.195,7.195,225.0
2019-10-28 10:55:00,7.1903,7.1967,7.1767,7.1803,3032.0
2019-10-28 10:56:00,7.175,7.2,7.175,7.2,2284.0
2019-10-28 10:57:00,7.2,7.21,7.2,7.21,1563.0
2019-10-28 10:58:00,7.21,7.21,7.21,7.21,400.0
2019-10-28 10:59:00,7.2203,7.2369,7.2169,7.2303,1611.0
2019-10-28 11:00:00,7.22,7.24,7.22,7.23,5875.0
2019-10-28 11:01:00,7.23,7.23,7.21,7.21,1205.0
2019-10-28 11:02:00,7.21,7.21,7.21,7.21,306.0
2019-10-28 11:03:00,7.205,7.215,7.2,7.2,3516.0
2019-10-28 11:04:00,7.205,7.21,7.2,7.2,1102.0
2019-10-28 11:05:00,7.21,7.21,7.21,7.21,404.0
2019-10-28 11:06:00,7.21,7.22,7.205,7.22,2014.0
2019-10-28 11:07:00,7.2001,7.2057,7.1857,7.1901,3901.0
2019-10-28 11:08:00,7.185,7.195,7.18,7.195,4245.0
2019-10-28 11:09:00,7.195,7.195,7.195,7.195,219.0
2019-10-28 11:10:00,7.2,7.2,7.19,7.19,5700.0
2019-10-28 11:12:00,7.19,7.19,7.175,7.175,3600.0
2019-10-28 11:13:00,7.175,7.1786,7.175,7.1786,1601.0
2019-10-28 11:14:00,7.18,7.18,7.18,7.18,101.0
2019-10-28 11:15:00,7.175,7.175,7.165,7.165,2327.0
2019-10-28 11:16:00,7.165,7.18,7.16,7.175,10431.0
2019-10-28 11:17:00,7.175,7.18,7.17,7.175,4936.0
2019-10-28 11:18:00,7.175,7.19,7.175,7.19,5865.0
2019-10-28 11:20:00,7.19,7.21,7.185,7.21,3361.0
2019-10-28 11:21:00,7.2,7.21,7.2,7.2,502.0
2019-10-28 11:22:00,7.21,7.21,7.2,7.205,1297.0
2019-10-28 11:23:00,7.21,7.22,7.21,7.21,5062.0
2019-10-28 11:24:00,7.204,7.204,7.204,7.204,100.0
2019-10-28 11:25:00,7.205,7.23,7.205,7.22,3895.0
2019-10-28 11:27:00,7.23,7.24,7.225,7.24,2280.0
2019-10-28 11:29:00,7.2354,7.24,7.235,7.24,2021.0
2019-10-28 11:30:00,7.23,7.2364,7.23,7.235,852.0
2019-10-28 11:31:00,7.24,7.245,7.235,7.235,3101.0
2019-10-28 11:32:00,7.23,7.23,7.21,7.21,3177.0
2019-10-28 11:33:00,7.21,7.21,7.21,7.21,1900.0
2019-10-28 11:34:00,7.205,7.215,7.205,7.215,2622.0
2019-10-28 11:35:00,7.215,7.215,7.215,7.215,100.0
2019-10-28 11:37:00,7.215,7.23,7.215,7.22,2200.0
2019-10-28 11:38:00,7.225,7.23,7.225,7.23,2000.0
2019-10-28 11:39:00,7.225,7.225,7.22,7.22,370.0
2019-10-28 11:40:00,7.22,7.22,7.21,7.21,1018.0
2019-10-28 11:41:00,7.21,7.21,7.21,7.21,701.0
2019-10-28 11:43:00,7.215,7.23,7.215,7.23,4378.0
2019-10-28 11:44:00,7.225,7.225,7.225,7.225,200.0
2019-10-28 11:45:00,7.225,7.225,7.225,7.225,473.0
2019-10-28 11:47:00,7.225,7.225,7.225,7.225,100.0
2019-10-28 11:48:00,7.225,7.23,7.225,7.23,3652.0
2019-10-28 11:49:00,7.225,7.25,7.225,7.25,2238.0
2019-10-28 11:51:00,7.25,7.25,7.24,7.245,4535.0
2019-10-28 11:52:00,7.25,7.28,7.25,7.27,3244.0
2019-10-28 11:53:00,7.27,7.27,7.265,7.265,400.0
2019-10-28 11:56:00,7.265,7.265,7.265,7.265,585.0
2019-10-28 11:57:00,7.27,7.27,7.265,7.27,1482.0
2019-10-28 11:58:00,7.265,7.27,7.26,7.265,4168.0
2019-10-28 11:59:00,7.265,7.27,7.265,7.27,500.0
2019-10-28 12:00:00,7.27,7.27,7.26,7.26,609.0
2019-10-28 12:01:00,7.27,7.27,7.27,7.27,107.0
2019-10-28 12:02:00,7.27,7.27,7.2635,7.265,615.0
2019-10-28 12:03:00,7.26,7.26,7.24,7.245,3435.0
2019-10-28 12:04:00,7.25,7.27,7.25,7.25,4741.0
2019-10-28 12:05:00,7.2502,7.267,7.247,7.2602,4940.0
