FIT
time,open,high,low,close,volume
2019-10-28 09:31:00,4.31,4.31,4.31,4.31,73662.0
2019-10-28 09:32:00,4.3102,4.3342,4.2841,4.3302,25365.0
2019-10-28 09:33:00,4.3247,4.4,4.3247,4.3986,98950.0
2019-10-28 09:34:00,4.39,4.41,4.39,4.4041,35711.0
2019-10-28 09:35:00,4.41,4.46,4.4,4.46,147903.0
2019-10-28 09:36:00,4.4501,4.4643,4.4043,4.4081,41695.0
2019-10-28 09:37:00,4.4001,4.4035,4.3835,4.4001,86055.0
2019-10-28 09:38:00,4.4012,4.4241,4.3991,4.4001,38344.0
2019-10-28 09:39:00,4.3902,4.3941,4.3741,4.3755,11976.0
2019-10-28 09:40:00,4.375,4.39,4.375,4.38,10962.0
2019-10-28 09:41:00,4.38,4.4,4.38,4.3904,5924.0
2019-10-28 09:42:00,4.395,4.42,4.395,4.4115,28685.0
2019-10-28 09:43:00,4.41,4.415,4.41,4.415,6088.0
2019-10-28 09:44:00,4.41,4.42,4.4,4.42,10678.0
2019-10-28 09:45:00,4.4196,4.4196,4.415,4.415,873.0
2019-10-28 09:46:00,4.42,4.45,4.42,4.4459,51280.0
2019-10-28 09:47:00,4.445,4.45,4.4437,4.445,3052.0
2019-10-28 09:48:00,4.4452,4.4641,4.4441,4.4552,51732.0
2019-10-28 09:49:00,4.4601,4.4639,4.4549,4.4601,3386.0
2019-10-28 09:50:00,4.4552,4.4643,4.4343,4.4463,58060.0
2019-10-28 09:51:00,4.45,4.465,4.45,4.4599,52390.0
2019-10-28 09:52:00,4.455,4.48,4.455,4.47,38630.0
2019-10-28 09:53:00,4.47,4.48,4.47,4.47,15911.0
2019-10-28 09:54:00,4.4713,4.48,4.47,4.475,8388.0
2019-10-28 09:55:00,4.48,4.49,4.48,4.49,38301.0
2019-10-28 09:56:00,4.49,4.49,4.4815,4.485,34180.0
2019-10-28 09:57:00,4.49,4.49,4.48,4.48,18280.0
2019-10-28 09:58:00,4.48,4.48,4.4726,4.4726,8153.0
2019-10-28 09:59:00,4.4751,4.4944,4.4743,4.4901,17752.0
2019-10-28 10:00:00,4.49,4.49,4.48,4.49,4216.0
2019-10-28 10:01:00,4.485,4.5,4.4835,4.4835,61812.0
2019-10-28 10:02:00,4.4806,4.4973,4.4806,4.49,52116.0
2019-10-28 10:03:00,4.4907,4.5043,4.4743,4.4906,152783.0
2019-10-28 10:04:00,4.4919,4.5243,4.4843,4.4902,135452.0
2019-10-28 10:05:00,4.48,4.4891,4.48,4.485,18636.0
2019-10-28 10:06:00,4.48,4.5,4.48,4.5,39991.0
2019-10-28 10:07:00,4.5,4.5,4.4944,4.495,2880.0
2019-10-28 10:08:00,4.4985,4.5035,4.4984,4.5001,26694.0
2019-10-28 10:09:00,4.5002,4.5042,4.4992,4.5002,2704.0
2019-10-28 10:10:00,4.5001,4.5139,4.4989,4.5101,34705.0
2019-10-28 10:11:00,4.505,4.51,4.505,4.505,2732.0
2019-10-28 10:12:00,4.5,4.51,4.49,4.49,29057.0
2019-10-28 10:13:00,4.4952,4.4993,4.4843,4.4952,58321.0
2019-10-28 10:14:00,4.4914,4.4914,4.49,4.49,2124.0
2019-10-28 10:15:00,4.5,4.5,4.49,4.49,4321.0
2019-10-28 10:16:00,4.5001,4.5044,4.4944,4.5001,8775.0
2019-10-28 10:17:00,4.5001,4.5135,4.4943,4.5101,29741.0
2019-10-28 10:18:00,4.5052,4.5142,4.5042,4.5052,61131.0
2019-10-28 10:19:00,4.5052,4.5142,4.5042,4.5081,54789.0
