GASL
time,open,high,low,close,volume
2019-10-28 09:31:00,7.43,7.6,7.43,7.58,69799.0
2019-10-28 09:32:00,7.5983,7.6173,7.5982,7.6073,10549.0
2019-10-28 09:33:00,7.6203,7.6772,7.6073,7.6203,76442.0
2019-10-28 09:34:00,7.62,7.691,7.62,7.691,45904.0
2019-10-28 09:35:00,7.68,7.76,7.68,7.69,63661.0
2019-10-28 09:36:00,7.7302,7.7375,7.6674,7.6752,40006.0
2019-10-28 09:37:00,7.6702,7.7061,7.646,7.6822,15190.0
2019-10-28 09:38:00,7.7,7.7047,7.66,7.66,10990.0
2019-10-28 09:39:00,7.6516,7.69,7.6516,7.68,17700.0
2019-10-28 09:40:00,7.69,7.74,7.6893,7.7,27769.0
2019-10-28 09:41:00,7.72,7.72,7.68,7.68,11410.0
2019-10-28 09:42:00,7.6703,7.7174,7.6673,7.6903,42500.0
2019-10-28 09:43:00,7.6702,7.6981,7.6491,7.6537,12969.0
2019-10-28 09:44:00,7.65,7.68,7.61,7.65,18162.0
2019-10-28 09:45:00,7.67,7.68,7.67,7.68,1660.0
2019-10-28 09:46:00,7.6902,7.7161,7.686,7.6902,12200.0
2019-10-28 09:47:00,7.71,7.74,7.71,7.72,60495.0
2019-10-28 09:48:00,7.72,7.74,7.72,7.73,5136.0
2019-10-28 09:49:00,7.7201,7.7407,7.6977,7.7341,35589.0
2019-10-28 09:50:00,7.7103,7.7274,7.6968,7.7203,32257.0
2019-10-28 09:51:00,7.71,7.72,7.667,7.667,5250.0
2019-10-28 09:52:00,7.6802,7.6876,7.6775,7.6803,4459.0
2019-10-28 09:53:00,7.65,7.66,7.62,7.64,7956.0
2019-10-28 09:54:00,7.65,7.6799,7.65,7.6799,360.0
2019-10-28 09:55:00,7.669,7.67,7.66,7.66,1800.0
2019-10-28 09:56:00,7.65,7.65,7.6183,7.6183,9038.0
2019-10-28 09:57:00,7.6103,7.6271,7.5971,7.6203,16478.0
2019-10-28 09:58:00,7.64,7.64,7.63,7.63,800.0
2019-10-28 09:59:00,7.6002,7.6374,7.5974,7.6302,6565.0
2019-10-28 10:00:00,7.64,7.65,7.62,7.62,7219.0
2019-10-28 10:01:00,7.65,7.65,7.6,7.6,7512.0
2019-10-28 10:02:00,7.5701,7.63,7.5701,7.6206,13306.0
2019-10-28 10:03:00,7.6235,7.63,7.6221,7.63,1875.0
2019-10-28 10:04:00,7.6303,7.6373,7.6173,7.6203,2693.0
2019-10-28 10:05:00,7.61,7.61,7.56,7.56,3953.0
2019-10-28 10:06:00,7.54,7.55,7.54,7.54,24396.0
2019-10-28 10:07:00,7.54,7.5501,7.5,7.5,5530.0
2019-10-28 10:08:00,7.5,7.54,7.5,7.53,10291.0
2019-10-28 10:09:00,7.5333,7.5571,7.527,7.5503,3047.0
2019-10-28 10:10:00,7.555,7.57,7.55,7.57,3088.0
2019-10-28 10:11:00,7.57,7.61,7.57,7.6,2225.0
2019-10-28 10:12:00,7.6,7.64,7.6,7.64,5300.0
2019-10-28 10:13:00,7.6303,7.6523,7.6173,7.6203,7881.0
2019-10-28 10:14:00,7.61,7.64,7.61,7.61,3768.0
2019-10-28 10:15:00,7.6,7.615,7.5929,7.5929,2777.0
2019-10-28 10:16:00,7.59,7.61,7.5845,7.59,17455.0
2019-10-28 10:17:00,7.6,7.6,7.58,7.58,2719.0
2019-10-28 10:18:00,7.5703,7.5771,7.5471,7.5503,5164.0
2019-10-28 10:19:00,7.55,7.55,7.5224,7.5224,5775.0
2019-10-28 10:20:00,7.52,7.54,7.52,7.54,2300.0
2019-10-28 10:21:00,7.56,7.56,7.56,7.56,900.0
