MOBL
time,open,high,low,close,volume
2019-10-28 09:31:00,6.18,6.18,6.18,6.18,0.0
2019-10-28 09:34:00,6.2,6.2,6.19,6.19,601.0
2019-10-28 09:35:00,6.2,6.205,6.2,6.205,666.0
2019-10-28 09:36:00,6.21,6.21,6.21,6.21,1514.0
2019-10-28 09:37:00,6.22,6.225,6.22,6.225,450.0
2019-10-28 09:38:00,6.21,6.21,6.21,6.21,356.0
2019-10-28 09:39:00,6.21,6.21,6.18,6.18,1803.0
2019-10-28 09:40:00,6.19,6.19,6.18,6.18,619.0
2019-10-28 09:41:00,6.185,6.185,6.185,6.185,114.0
2019-10-28 09:42:00,6.185,6.185,6.175,6.175,431.0
2019-10-28 09:43:00,6.18,6.18,6.18,6.18,159.0
2019-10-28 09:44:00,6.17,6.175,6.17,6.175,30364.0
2019-10-28 09:47:00,6.175,6.175,6.175,6.175,928.0
2019-10-28 09:49:00,6.18,6.185,6.18,6.185,1422.0
2019-10-28 09:50:00,6.17,6.17,6.17,6.17,934.0
2019-10-28 09:51:00,6.19,6.19,6.19,6.19,996.0
2019-10-28 09:56:00,6.18,6.18,6.18,6.18,113.0
2019-10-28 09:57:00,6.18,6.18,6.18,6.18,100.0
2019-10-28 09:58:00,6.18,6.19,6.18,6.18,1091.0
2019-10-28 09:59:00,6.185,6.185,6.185,6.185,235.0
2019-10-28 10:00:00,6.19,6.19,6.18,6.18,301.0
2019-10-28 10:02:00,6.19,6.19,6.19,6.19,100.0
2019-10-28 10:03:00,6.19,6.19,6.185,6.19,1623.0
2019-10-28 10:04:00,6.2,6.21,6.195,6.205,1262.0
2019-10-28 10:05:00,6.205,6.205,6.205,6.205,300.0
2019-10-28 10:06:00,6.21,6.22,6.21,6.215,1421.0
2019-10-28 10:08:00,6.21,6.215,6.21,6.215,300.0
2019-10-28 10:09:00,6.215,6.215,6.21,6.21,374.0
2019-10-28 10:10:00,6.22,6.22,6.215,6.215,400.0
2019-10-28 10:11:00,6.2152,6.221,6.206,6.2102,3366.0
2019-10-28 10:12:00,6.205,6.21,6.205,6.21,1234.0
2019-10-28 10:13:00,6.21,6.21,6.205,6.205,287.0
2019-10-28 10:14:00,6.205,6.205,6.205,6.205,200.0
2019-10-28 10:15:00,6.21,6.22,6.21,6.21,313.0
2019-10-28 10:16:00,6.2045,6.22,6.2045,6.22,5781.0
2019-10-28 10:17:00,6.215,6.225,6.215,6.225,2915.0
2019-10-28 10:18:00,6.225,6.225,6.225,6.225,500.0
2019-10-28 10:19:00,6.225,6.225,6.225,6.225,240.0
2019-10-28 10:20:00,6.225,6.225,6.225,6.225,300.0
2019-10-28 10:21:00,6.225,6.225,6.225,6.225,200.0
2019-10-28 10:22:00,6.225,6.225,6.225,6.225,100.0
2019-10-28 10:23:00,6.225,6.23,6.225,6.23,620.0
2019-10-28 10:24:00,6.23,6.24,6.23,6.23,1356.0
2019-10-28 10:25:00,6.23,6.24,6.23,6.24,1325.0
2019-10-28 10:26:00,6.2401,6.2549,6.2399,6.2401,1586.0
2019-10-28 10:27:00,6.25,6.25,6.24,6.24,311.0
2019-10-28 10:28:00,6.24,6.24,6.24,6.24,1521.0
2019-10-28 10:29:00,6.24,6.24,6.235,6.235,1220.0
2019-10-28 10:30:00,6.235,6.235,6.235,6.235,834.0
2019-10-28 10:31:00,6.235,6.235,6.23,6.23,269.0
2019-10-28 10:32:00,6.235,6.235,6.235,6.235,372.0
2019-10-28 10:33:00,6.24,6.25,6.24,6.25,1757.0
2019-10-28 10:34:00,6.2442,6.245,6.2442,6.245,380.0
2019-10-28 10:35:00,6.25,6.25,6.25,6.25,200.0
2019-10-28 10:36:00,6.245,6.26,6.245,6.26,2827.0
2019-10-28 10:37:00,6.255,6.26,6.255,6.26,595.0
2019-10-28 10:38:00,6.255,6.27,6.255,6.27,1062.0
2019-10-28 10:40:00,6.265,6.265,6.265,6.265,600.0
2019-10-28 10:41:00,6.265,6.265,6.265,6.265,611.0
2019-10-28 10:42:00,6.26,6.27,6.26,6.27,1221.0
2019-10-28 10:43:00,6.275,6.28,6.275,6.28,700.0
2019-10-28 10:44:00,6.275,6.28,6.275,6.275,2517.0
2019-10-28 10:45:00,6.275,6.28,6.275,6.28,511.0
2019-10-28 10:46:00,6.275,6.275,6.275,6.275,100.0
2019-10-28 10:47:00,6.275,6.275,6.275,6.275,100.0
2019-10-28 10:48:00,6.275,6.28,6.275,6.275,400.0
2019-10-28 10:49:00,6.28,6.28,6.275,6.275,395.0
2019-10-28 10:50:00,6.28,6.285,6.28,6.285,1638.0
2019-10-28 10:51:00,6.29,6.31,6.29,6.3,832.0
2019-10-28 10:52:00,6.29,6.3,6.29,6.3,868.0
2019-10-28 10:54:00,6.3,6.3,6.295,6.295,600.0
2019-10-28 10:55:00,6.295,6.295,6.29,6.29,4845.0
2019-10-28 10:56:00,6.29,6.29,6.285,6.285,623.0
2019-10-28 10:58:00,6.29,6.29,6.29,6.29,701.0
2019-10-28 10:59:00,6.29,6.29,6.28,6.28,900.0
2019-10-28 11:00:00,6.29,6.29,6.29,6.29,199.0
2019-10-28 11:01:00,6.285,6.285,6.285,6.285,427.0
2019-10-28 11:03:00,6.285,6.285,6.285,6.285,434.0
2019-10-28 11:04:00,6.285,6.285,6.285,6.285,200.0
2019-10-28 11:06:00,6.29,6.29,6.29,6.29,6147.0
2019-10-28 11:08:00,6.29,6.295,6.29,6.295,1342.0
2019-10-28 11:09:00,6.29,6.3,6.29,6.295,1109.0
2019-10-28 11:10:00,6.29,6.3,6.29,6.3,541.0
2019-10-28 11:13:00,6.3,6.3,6.3,6.3,1339.0
2019-10-28 11:14:00,6.3,6.3,6.3,6.3,623.0
2019-10-28 11:15:00,6.29,6.3,6.29,6.295,414.0
2019-10-28 11:16:00,6.29,6.3,6.29,6.29,511.0
2019-10-28 11:17:00,6.295,6.295,6.295,6.295,169.0
2019-10-28 11:18:00,6.295,6.295,6.29,6.29,622.0
2019-10-28 11:19:00,6.295,6.295,6.295,6.295,208.0
2019-10-28 11:20:00,6.29,6.295,6.27,6.275,5678.0
2019-10-28 11:21:00,6.275,6.28,6.27,6.27,679.0
2019-10-28 11:22:00,6.27,6.27,6.26,6.26,2103.0
2019-10-28 11:23:00,6.26,6.26,6.25,6.25,1531.0
2019-10-28 11:24:00,6.255,6.26,6.255,6.255,700.0
2019-10-28 11:25:00,6.255,6.255,6.255,6.255,100.0
2019-10-28 11:27:00,6.255,6.26,6.25,6.26,1299.0
2019-10-28 11:28:00,6.255,6.255,6.255,6.255,200.0
2019-10-28 11:29:00,6.26,6.26,6.255,6.26,400.0
2019-10-28 11:30:00,6.26,6.26,6.26,6.26,300.0
2019-10-28 11:31:00,6.255,6.255,6.255,6.255,100.0
2019-10-28 11:32:00,6.26,6.27,6.26,6.26,202.0
2019-10-28 11:33:00,6.255,6.255,6.255,6.255,200.0
2019-10-28 11:34:00,6.25,6.27,6.25,6.26,3978.0
2019-10-28 11:35:00,6.265,6.27,6.265,6.27,300.0
2019-10-28 11:36:00,6.265,6.27,6.265,6.27,800.0
2019-10-28 11:37:00,6.27,6.27,6.265,6.265,1980.0
2019-10-28 11:38:00,6.27,6.27,6.27,6.27,100.0
2019-10-28 11:39:00,6.265,6.27,6.26,6.26,1067.0
2019-10-28 11:40:00,6.26,6.27,6.26,6.26,813.0
2019-10-28 11:41:00,6.27,6.27,6.27,6.27,174.0
2019-10-28 11:42:00,6.265,6.27,6.26,6.27,482.0
2019-10-28 11:43:00,6.26,6.27,6.26,6.265,640.0
2019-10-28 11:44:00,6.265,6.27,6.26,6.265,6202.0
2019-10-28 11:45:00,6.27,6.27,6.27,6.27,203.0
2019-10-28 11:46:00,6.265,6.27,6.265,6.265,500.0
2019-10-28 11:47:00,6.26,6.265,6.26,6.265,200.0
2019-10-28 11:48:00,6.265,6.265,6.26,6.26,721.0
2019-10-28 11:49:00,6.265,6.265,6.265,6.265,200.0
2019-10-28 11:50:00,6.27,6.27,6.27,6.27,303.0
2019-10-28 11:51:00,6.26,6.27,6.26,6.27,409.0
2019-10-28 11:52:00,6.26,6.27,6.26,6.27,1918.0
2019-10-28 11:53:00,6.265,6.27,6.265,6.27,456.0
2019-10-28 11:54:00,6.27,6.275,6.27,6.275,2100.0
2019-10-28 11:55:00,6.275,6.28,6.275,6.28,1200.0
2019-10-28 11:56:00,6.29,6.29,6.285,6.285,600.0
2019-10-28 11:57:00,6.29,6.29,6.285,6.29,309.0
2019-10-28 11:58:00,6.285,6.29,6.285,6.29,200.0
2019-10-28 11:59:00,6.285,6.29,6.285,6.285,570.0
2019-10-28 12:00:00,6.29,6.29,6.28,6.29,700.0
2019-10-28 12:01:00,6.285,6.285,6.285,6.285,114.0
2019-10-28 12:02:00,6.285,6.29,6.285,6.285,342.0
2019-10-28 12:03:00,6.285,6.285,6.285,6.285,700.0
2019-10-28 12:04:00,6.29,6.29,6.29,6.29,303.0
2019-10-28 12:05:00,6.285,6.285,6.285,6.285,200.0
2019-10-28 12:06:00,6.2851,6.2899,6.2849,6.2851,752.0
2019-10-28 12:07:00,6.29,6.29,6.29,6.29,201.0
2019-10-28 12:08:00,6.285,6.29,6.285,6.29,563.0
2019-10-28 12:09:00,6.285,6.285,6.28,6.28,400.0
2019-10-28 12:10:00,6.29,6.29,6.285,6.285,301.0
2019-10-28 12:11:00,6.29,6.29,6.28,6.28,301.0
2019-10-28 12:12:00,6.29,6.29,6.285,6.29,1101.0
2019-10-28 12:13:00,6.28,6.285,6.28,6.285,737.0
2019-10-28 12:14:00,6.29,6.29,6.28,6.285,714.0
2019-10-28 12:15:00,6.28,6.28,6.28,6.28,100.0
2019-10-28 12:16:00,6.285,6.285,6.285,6.285,201.0
2019-10-28 12:17:00,6.285,6.285,6.28,6.28,1201.0
2019-10-28 12:18:00,6.29,6.29,6.285,6.285,201.0
2019-10-28 12:19:00,6.29,6.29,6.285,6.29,802.0
2019-10-28 12:20:00,6.29,6.29,6.28,6.28,251.0
