NPTN
time,open,high,low,close,volume
2019-10-28 09:31:00,6.12,6.12,6.12,6.12,12441.0
2019-10-28 09:32:00,6.11,6.11,6.09,6.09,1665.0
2019-10-28 09:33:00,6.11,6.11,6.08,6.08,5183.0
2019-10-28 09:34:00,6.0802,6.106,6.076,6.0902,5895.0
2019-10-28 09:35:00,6.1,6.155,6.1,6.15,10139.0
2019-10-28 09:36:00,6.15,6.15,6.15,6.15,500.0
2019-10-28 09:37:00,6.15,6.16,6.15,6.16,639.0
2019-10-28 09:38:00,6.17,6.17,6.16,6.16,706.0
2019-10-28 09:39:00,6.16,6.16,6.16,6.16,891.0
2019-10-28 09:40:00,6.16,6.165,6.16,6.16,1200.0
2019-10-28 09:41:00,6.15,6.16,6.13,6.13,6660.0
2019-10-28 09:43:00,6.15,6.15,6.14,6.14,630.0
2019-10-28 09:44:00,6.14,6.14,6.14,6.14,271.0
2019-10-28 09:45:00,6.13,6.13,6.13,6.13,102.0
2019-10-28 09:46:00,6.14,6.14,6.14,6.14,1499.0
2019-10-28 09:47:00,6.12,6.12,6.12,6.12,100.0
2019-10-28 09:48:00,6.1294,6.1294,6.1294,6.1294,548.0
2019-10-28 09:51:00,6.12,6.12,6.12,6.12,100.0
2019-10-28 09:52:00,6.12,6.12,6.09,6.09,4757.0
2019-10-28 09:53:00,6.1,6.1,6.09,6.09,301.0
2019-10-28 09:54:00,6.1,6.1,6.095,6.1,8981.0
2019-10-28 09:55:00,6.11,6.115,6.11,6.115,343.0
2019-10-28 09:56:00,6.115,6.115,6.115,6.115,100.0
2019-10-28 09:57:00,6.115,6.12,6.115,6.12,250.0
2019-10-28 09:58:00,6.12,6.13,6.12,6.125,1653.0
2019-10-28 09:59:00,6.13,6.133,6.1235,6.1235,1430.0
2019-10-28 10:00:00,6.13,6.13,6.13,6.13,339.0
2019-10-28 10:01:00,6.13,6.13,6.13,6.13,229.0
2019-10-28 10:02:00,6.13,6.13,6.13,6.13,304.0
2019-10-28 10:05:00,6.14,6.14,6.14,6.14,100.0
2019-10-28 10:06:00,6.14,6.14,6.14,6.14,100.0
2019-10-28 10:07:00,6.13,6.13,6.12,6.12,1380.0
2019-10-28 10:08:00,6.12,6.125,6.12,6.125,779.0
2019-10-28 10:09:00,6.12,6.1237,6.12,6.1237,466.0
2019-10-28 10:10:00,6.12,6.12,6.11,6.11,1405.0
2019-10-28 10:11:00,6.1,6.1,6.1,6.1,710.0
2019-10-28 10:12:00,6.1,6.1,6.095,6.095,1389.0
2019-10-28 10:13:00,6.095,6.1,6.095,6.1,3360.0
2019-10-28 10:14:00,6.0957,6.106,6.0931,6.1002,6226.0
2019-10-28 10:15:00,6.1,6.1,6.1,6.1,404.0
2019-10-28 10:16:00,6.1,6.1,6.1,6.1,1453.0
2019-10-28 10:17:00,6.095,6.1,6.095,6.1,450.0
2019-10-28 10:18:00,6.0962,6.0962,6.09,6.09,4425.0
2019-10-28 10:19:00,6.09,6.09,6.09,6.09,233.0
2019-10-28 10:20:00,6.09,6.09,6.09,6.09,351.0
2019-10-28 10:21:00,6.095,6.095,6.09,6.09,200.0
2019-10-28 10:22:00,6.1,6.1,6.1,6.1,100.0
2019-10-28 10:23:00,6.1,6.1,6.095,6.095,300.0
2019-10-28 10:24:00,6.1,6.1,6.1,6.1,220.0
2019-10-28 10:25:00,6.11,6.11,6.11,6.11,800.0
2019-10-28 10:26:00,6.11,6.11,6.1,6.1,2443.0
2019-10-28 10:30:00,6.1,6.1,6.1,6.1,100.0
2019-10-28 10:31:00,6.1,6.11,6.1,6.11,366.0
2019-10-28 10:32:00,6.1,6.11,6.1,6.1095,450.0
2019-10-28 10:33:00,6.11,6.11,6.11,6.11,200.0
2019-10-28 10:34:00,6.105,6.12,6.105,6.12,1200.0
2019-10-28 10:35:00,6.12,6.12,6.12,6.12,3319.0
2019-10-28 10:36:00,6.11,6.12,6.11,6.12,200.0
2019-10-28 10:39:00,6.11,6.11,6.11,6.11,512.0
2019-10-28 10:41:00,6.11,6.11,6.11,6.11,100.0
2019-10-28 10:42:00,6.11,6.11,6.11,6.11,404.0
2019-10-28 10:43:00,6.11,6.11,6.1,6.1,2015.0
2019-10-28 10:46:00,6.1,6.1,6.1,6.1,100.0
2019-10-28 10:47:00,6.0981,6.0981,6.0981,6.0981,500.0
2019-10-28 10:48:00,6.095,6.095,6.095,6.095,200.0
2019-10-28 10:49:00,6.095,6.095,6.095,6.095,102.0
2019-10-28 10:50:00,6.1,6.1,6.1,6.1,100.0
2019-10-28 10:51:00,6.1,6.1,6.1,6.1,204.0
2019-10-28 10:52:00,6.095,6.095,6.09,6.09,270.0
2019-10-28 10:53:00,6.0987,6.115,6.095,6.1,20316.0
2019-10-28 10:54:00,6.1,6.1,6.095,6.095,2200.0
2019-10-28 10:55:00,6.095,6.095,6.09,6.09,653.0
2019-10-28 10:56:00,6.09,6.09,6.09,6.09,100.0
2019-10-28 10:57:00,6.1,6.1,6.1,6.1,200.0
2019-10-28 10:59:00,6.09,6.09,6.08,6.085,9523.0
2019-10-28 11:00:00,6.07,6.07,6.07,6.07,1464.0
2019-10-28 11:01:00,6.06,6.06,6.05,6.05,999.0
2019-10-28 11:04:00,6.065,6.065,6.065,6.065,6404.0
2019-10-28 11:07:00,6.065,6.065,6.065,6.065,3329.0
2019-10-28 11:10:00,6.065,6.065,6.06,6.06,800.0
2019-10-28 11:11:00,6.07,6.07,6.07,6.07,100.0
2019-10-28 11:13:00,6.07,6.07,6.07,6.07,0.0
2019-10-28 11:15:00,6.07,6.07,6.065,6.065,154682.0
2019-10-28 11:16:00,6.065,6.065,6.065,6.065,220.0
2019-10-28 11:17:00,6.06,6.06,6.05,6.05,1685.0
2019-10-28 11:19:00,6.0499,6.0499,6.0499,6.0499,300.0
2019-10-28 11:22:00,6.04,6.04,6.04,6.04,105.0
2019-10-28 11:23:00,6.045,6.05,6.04,6.04,1908.0
2019-10-28 11:24:00,6.05,6.05,6.04,6.04,256.0
2019-10-28 11:25:00,6.04,6.04,6.04,6.04,100.0
