PRQR
time,open,high,low,close,volume
2019-10-28 09:31:00,7.28,7.28,7.28,7.28,0.0
2019-10-28 09:32:00,7.3899,7.3899,7.3,7.3,1897.0
2019-10-28 09:33:00,7.3,7.3,7.3,7.3,715.0
2019-10-28 09:34:00,7.27,7.27,7.11,7.11,6717.0
2019-10-28 09:35:00,7.2,7.2,7.2,7.2,1606.0
2019-10-28 09:36:00,7.2147,7.2147,7.2,7.2,178.0
2019-10-28 09:37:00,7.26,7.26,7.26,7.26,4702.0
2019-10-28 09:40:00,7.25,7.25,7.25,7.25,1100.0
2019-10-28 09:52:00,7.23,7.23,7.23,7.23,805.0
2019-10-28 09:53:00,7.24,7.25,7.24,7.24,379.0
2019-10-28 10:01:00,7.24,7.24,7.24,7.24,135.0
2019-10-28 10:06:00,7.2201,7.245,7.21,7.21,1400.0
2019-10-28 10:09:00,7.2512,7.2512,7.2512,7.2512,150.0
2019-10-28 10:13:00,7.2472,7.2472,7.2472,7.2472,550.0
2019-10-28 10:14:00,7.27,7.27,7.25,7.25,656.0
2019-10-28 10:17:00,7.2609,7.2609,7.2609,7.2609,300.0
2019-10-28 10:21:00,7.25,7.25,7.25,7.25,200.0
2019-10-28 10:22:00,7.2603,7.267,7.1769,7.1803,2901.0
2019-10-28 10:30:00,7.1734,7.1734,7.1734,7.1734,257.0
2019-10-28 10:34:00,7.2,7.21,7.2,7.21,950.0
2019-10-28 10:41:00,7.23,7.23,7.23,7.23,0.0
2019-10-28 10:44:00,7.22,7.22,7.22,7.22,28431.0
2019-10-28 10:45:00,7.22,7.22,7.22,7.22,100.0
2019-10-28 10:46:00,7.23,7.23,7.23,7.23,410.0
2019-10-28 10:48:00,7.24,7.2485,7.24,7.245,545.0
2019-10-28 10:51:00,7.26,7.26,7.25,7.25,204.0
2019-10-28 10:52:00,7.24,7.24,7.24,7.24,180.0
2019-10-28 10:54:00,7.24,7.24,7.24,7.24,345.0
2019-10-28 10:55:00,7.23,7.23,7.23,7.23,578.0
2019-10-28 10:58:00,7.19,7.19,7.19,7.19,100.0
2019-10-28 11:00:00,7.23,7.23,7.23,7.23,99.0
2019-10-28 11:01:00,7.22,7.23,7.22,7.23,547.0
2019-10-28 11:07:00,7.24,7.24,7.24,7.24,356.0
2019-10-28 11:11:00,7.23,7.23,7.23,7.23,301.0
2019-10-28 11:14:00,7.2299,7.2299,7.2299,7.2299,205.0
2019-10-28 11:15:00,7.23,7.23,7.23,7.23,105.0
2019-10-28 11:16:00,7.23,7.23,7.23,7.23,100.0
2019-10-28 11:17:00,7.23,7.23,7.23,7.23,200.0
2019-10-28 11:19:00,7.24,7.24,7.24,7.24,480.0
2019-10-28 11:20:00,7.245,7.245,7.24,7.24,305.0
2019-10-28 11:23:00,7.25,7.25,7.25,7.25,100.0
2019-10-28 11:26:00,7.25,7.255,7.25,7.255,500.0
2019-10-28 11:27:00,7.26,7.26,7.26,7.26,250.0
2019-10-28 11:28:00,7.25,7.25,7.25,7.25,100.0
2019-10-28 11:29:00,7.27,7.27,7.26,7.26,903.0
2019-10-28 11:32:00,7.25,7.25,7.25,7.25,109.0
2019-10-28 11:34:00,7.25,7.25,7.25,7.25,200.0
2019-10-28 11:35:00,7.26,7.26,7.26,7.26,300.0
2019-10-28 11:36:00,7.27,7.27,7.27,7.27,100.0
2019-10-28 11:37:00,7.27,7.27,7.27,7.27,200.0
2019-10-28 11:39:00,7.29,7.29,7.29,7.29,100.0
2019-10-28 11:41:00,7.3,7.3,7.2913,7.2913,1015.0
2019-10-28 11:43:00,7.3,7.3,7.3,7.3,300.0
2019-10-28 11:44:00,7.3,7.3,7.3,7.3,150.0
2019-10-28 11:47:00,7.31,7.32,7.3,7.3,304.0
2019-10-28 11:48:00,7.31,7.32,7.31,7.32,400.0
2019-10-28 11:50:00,7.33,7.33,7.33,7.33,200.0
2019-10-28 11:51:00,7.35,7.35,7.35,7.35,600.0
2019-10-28 11:52:00,7.35,7.35,7.3,7.3,2326.0
2019-10-28 11:54:00,7.31,7.31,7.31,7.31,500.0
2019-10-28 11:56:00,7.3,7.3,7.3,7.3,1054.0
2019-10-28 11:58:00,7.29,7.29,7.29,7.29,200.0
2019-10-28 12:02:00,7.29,7.3,7.28,7.28,1145.0
2019-10-28 12:04:00,7.29,7.34,7.29,7.34,10082.0
2019-10-28 12:05:00,7.35,7.35,7.35,7.35,300.0
2019-10-28 12:08:00,7.35,7.35,7.35,7.35,100.0
2019-10-28 12:09:00,7.35,7.35,7.35,7.35,654.0
2019-10-28 12:10:00,7.345,7.345,7.345,7.345,100.0
2019-10-28 12:11:00,7.36,7.36,7.36,7.36,351.0
2019-10-28 12:13:00,7.37,7.37,7.37,7.37,803.0
2019-10-28 12:15:00,7.365,7.365,7.365,7.365,100.0
2019-10-28 12:18:00,7.36,7.36,7.36,7.36,100.0
2019-10-28 12:19:00,7.37,7.37,7.37,7.37,400.0
2019-10-28 12:22:00,7.34,7.34,7.34,7.34,101.0
2019-10-28 12:23:00,7.33,7.33,7.31,7.31,1148.0
2019-10-28 12:24:00,7.32,7.32,7.31,7.31,979.0
2019-10-28 12:26:00,7.325,7.33,7.325,7.33,200.0
2019-10-28 12:27:00,7.34,7.34,7.34,7.34,200.0
2019-10-28 12:28:00,7.34,7.34,7.34,7.34,100.0
2019-10-28 12:30:00,7.36,7.37,7.355,7.355,1200.0
2019-10-28 12:31:00,7.36,7.36,7.36,7.36,400.0
2019-10-28 12:32:00,7.365,7.365,7.365,7.365,100.0
2019-10-28 12:36:00,7.365,7.365,7.35,7.35,779.0
2019-10-28 12:42:00,7.35,7.35,7.35,7.35,403.0
2019-10-28 12:45:00,7.37,7.37,7.37,7.37,100.0
2019-10-28 12:48:00,7.37,7.37,7.37,7.37,100.0
2019-10-28 12:49:00,7.37,7.39,7.37,7.39,500.0
2019-10-28 12:51:00,7.36,7.37,7.36,7.37,960.0
2019-10-28 12:57:00,7.355,7.355,7.355,7.355,200.0
2019-10-28 12:58:00,7.335,7.335,7.335,7.335,1216.0
2019-10-28 12:59:00,7.3,7.3,7.3,7.3,0.0
2019-10-28 13:06:00,7.3,7.3,7.3,7.3,67137.0
2019-10-28 13:07:00,7.3199,7.3199,7.3199,7.3199,511.0
2019-10-28 13:09:00,7.3,7.3,7.3,7.3,419.0
2019-10-28 13:10:00,7.3,7.3,7.28,7.28,2894.0
2019-10-28 13:11:00,7.28,7.28,7.28,7.28,303.0
2019-10-28 13:12:00,7.29,7.3,7.29,7.29,5654.0
2019-10-28 13:13:00,7.2902,7.2971,7.207,7.2902,15996.0
2019-10-28 13:14:00,7.28,7.29,7.28,7.29,3692.0
2019-10-28 13:15:00,7.3,7.3,7.3,7.3,100.0
2019-10-28 13:16:00,7.31,7.31,7.31,7.31,100.0
2019-10-28 13:18:00,7.3,7.3,7.29,7.29,2100.0
2019-10-28 13:19:00,7.29,7.29,7.29,7.29,1000.0
2019-10-28 13:20:00,7.2902,7.2972,7.2781,7.2902,348.0
2019-10-28 13:21:00,7.29,7.29,7.29,7.29,200.0
2019-10-28 13:22:00,7.29,7.29,7.29,7.29,212.0
2019-10-28 13:23:00,7.29,7.29,7.29,7.29,300.0
2019-10-28 13:24:00,7.29,7.29,7.29,7.29,200.0
2019-10-28 13:25:00,7.29,7.29,7.29,7.29,100.0
2019-10-28 13:26:00,7.29,7.29,7.29,7.29,200.0
2019-10-28 13:27:00,7.29,7.29,7.29,7.29,200.0
2019-10-28 13:28:00,7.285,7.29,7.285,7.29,203.0
2019-10-28 13:29:00,7.29,7.29,7.29,7.29,809.0
2019-10-28 13:30:00,7.29,7.29,7.29,7.29,200.0
2019-10-28 13:32:00,7.285,7.285,7.28,7.28,803.0
2019-10-28 13:36:00,7.25,7.25,7.24,7.24,900.0
2019-10-28 13:37:00,7.24,7.24,7.21,7.21,753.0
2019-10-28 13:39:00,7.2102,7.2261,7.137,7.1502,8413.0
2019-10-28 13:40:00,7.1502,7.1769,7.1269,7.1652,2523.0
2019-10-28 13:41:00,7.16,7.17,7.15,7.15,3657.0
2019-10-28 13:42:00,7.15,7.15,7.15,7.15,100.0
2019-10-28 13:44:00,7.135,7.135,7.12,7.12,1309.0
2019-10-28 13:48:00,7.0908,7.0908,7.0908,7.0908,1000.0
2019-10-28 13:54:00,7.115,7.16,7.115,7.16,2661.0
2019-10-28 13:55:00,7.16,7.16,7.16,7.16,105.0
2019-10-28 13:56:00,7.17,7.18,7.17,7.18,404.0
2019-10-28 13:57:00,7.18,7.18,7.17,7.17,2061.0
2019-10-28 13:59:00,7.15,7.15,7.15,7.15,100.0
2019-10-28 14:02:00,7.15,7.15,7.15,7.15,100.0
2019-10-28 14:03:00,7.145,7.145,7.145,7.145,200.0
2019-10-28 14:04:00,7.145,7.145,7.145,7.145,200.0
2019-10-28 14:07:00,7.125,7.125,7.125,7.125,118.0
2019-10-28 14:09:00,7.12,7.13,7.12,7.13,200.0
2019-10-28 14:11:00,7.12,7.12,7.12,7.12,101.0
2019-10-28 14:12:00,7.13,7.13,7.13,7.13,300.0
2019-10-28 14:13:00,7.12,7.12,7.12,7.12,267.0
2019-10-28 14:16:00,7.12,7.13,7.12,7.13,1145.0
2019-10-28 14:17:00,7.13,7.13,7.13,7.13,810.0
2019-10-28 14:18:00,7.105,7.13,7.105,7.13,1329.0
2019-10-28 14:19:00,7.13,7.13,7.13,7.13,860.0
2019-10-28 14:20:00,7.11,7.13,7.11,7.13,1730.0
2019-10-28 14:21:00,7.12,7.17,7.12,7.17,710.0
2019-10-28 14:22:00,7.17,7.17,7.15,7.15,455.0
2019-10-28 14:24:00,7.13,7.13,7.13,7.13,100.0
2019-10-28 14:26:00,7.14,7.14,7.14,7.14,100.0
2019-10-28 14:28:00,7.13,7.13,7.13,7.13,100.0
2019-10-28 14:30:00,7.14,7.14,7.12,7.12,400.0
2019-10-28 14:32:00,7.13,7.13,7.13,7.13,100.0
2019-10-28 14:34:00,7.125,7.125,7.125,7.125,115.0
2019-10-28 14:35:00,7.13,7.13,7.09,7.09,989.0
2019-10-28 14:36:00,7.1085,7.1085,7.1085,7.1085,218.0
2019-10-28 14:38:00,7.09,7.09,7.09,7.09,257.0
2019-10-28 14:39:00,7.09,7.1,7.09,7.1,956.0
2019-10-28 14:46:00,7.13,7.13,7.13,7.13,200.0
2019-10-28 14:47:00,7.11,7.11,7.11,7.11,200.0
2019-10-28 14:48:00,7.13,7.13,7.13,7.13,101.0
2019-10-28 14:49:00,7.1102,7.1169,7.0668,7.0702,1966.0
2019-10-28 14:52:00,7.06,7.06,7.03,7.03,2065.0
2019-10-28 14:56:00,7.035,7.035,7.035,7.035,103.0
2019-10-28 14:57:00,7.04,7.07,7.04,7.07,2567.0
2019-10-28 14:59:00,7.05,7.05,7.05,7.05,100.0
2019-10-28 15:00:00,7.07,7.09,7.07,7.09,2084.0
2019-10-28 15:01:00,7.08,7.1,7.08,7.09,1409.0
2019-10-28 15:02:00,7.1,7.1,7.1,7.1,703.0
2019-10-28 15:03:00,7.08,7.08,7.08,7.08,400.0
2019-10-28 15:04:00,7.06,7.06,7.05,7.05,730.0
2019-10-28 15:06:00,7.06,7.06,7.06,7.06,200.0
2019-10-28 15:08:00,7.06,7.06,7.06,7.06,301.0
2019-10-28 15:12:00,7.07,7.07,7.07,7.07,1203.0
2019-10-28 15:16:00,7.07,7.07,7.02,7.02,2517.0
2019-10-28 15:17:00,7.0303,7.0368,6.9901,7.0003,8124.0
2019-10-28 15:18:00,6.99,6.99,6.99,6.99,143.0
2019-10-28 15:19:00,6.99,6.995,6.99,6.99,1250.0
2019-10-28 15:21:00,7.005,7.005,7.005,7.005,100.0
2019-10-28 15:22:00,7.01,7.0173,7.01,7.0173,300.0
2019-10-28 15:23:00,7.0103,7.0365,7.0065,7.0103,1405.0
2019-10-28 15:24:00,7.005,7.02,7.005,7.02,520.0
2019-10-28 15:25:00,7.03,7.06,7.03,7.055,2400.0
2019-10-28 15:26:00,7.05,7.055,7.05,7.055,1511.0
2019-10-28 15:27:00,7.055,7.055,7.055,7.055,100.0
2019-10-28 15:28:00,7.06,7.065,7.06,7.065,565.0
2019-10-28 15:30:00,7.07,7.07,7.065,7.07,541.0
2019-10-28 15:31:00,7.06,7.06,7.05,7.05,1371.0
2019-10-28 15:32:00,7.06,7.06,7.06,7.06,400.0
2019-10-28 15:33:00,7.05,7.055,7.05,7.055,621.0
2019-10-28 15:36:00,7.06,7.06,7.055,7.055,260.0
2019-10-28 15:37:00,7.055,7.06,7.055,7.06,454.0
2019-10-28 15:38:00,7.06,7.06,7.06,7.06,100.0
2019-10-28 15:39:00,7.055,7.055,7.055,7.055,200.0
2019-10-28 15:40:00,7.06,7.06,7.06,7.06,117.0
2019-10-28 15:41:00,7.06,7.06,7.055,7.06,2509.0
2019-10-28 15:42:00,7.06,7.06,7.05,7.05,1550.0
2019-10-28 15:43:00,7.055,7.06,7.05,7.055,938.0
2019-10-28 15:44:00,7.055,7.055,7.055,7.055,404.0
2019-10-28 15:45:00,7.055,7.055,7.05,7.055,500.0
