RUSS
time,open,high,low,close,volume
2019-10-28 09:31:00,8.95,8.99,8.94,8.94,0.0
2019-10-28 09:32:00,8.94,8.94,8.94,8.94,337.0
2019-10-28 09:33:00,8.9301,8.94,8.9301,8.94,700.0
2019-10-28 09:34:00,8.93,8.9303,8.93,8.9303,1197.0
2019-10-28 09:38:00,8.91,8.91,8.91,8.91,805.0
2019-10-28 09:42:00,8.91,8.91,8.91,8.91,350.0
2019-10-28 09:43:00,8.91,8.91,8.91,8.91,1555.0
2019-10-28 09:44:00,8.91,8.92,8.91,8.9101,2300.0
2019-10-28 09:45:00,8.92,8.93,8.92,8.9225,825.0
2019-10-28 09:49:00,8.9158,8.9158,8.9158,8.9158,270.0
2019-10-28 09:50:00,8.9199,8.9199,8.9199,8.9199,3101.0
2019-10-28 09:52:00,8.92,8.92,8.92,8.92,1000.0
2019-10-28 09:53:00,8.92,8.92,8.92,8.92,210.0
2019-10-28 09:54:00,8.92,8.92,8.92,8.92,105.0
2019-10-28 09:55:00,8.92,8.92,8.9193,8.9193,200.0
2019-10-28 09:57:00,8.93,8.93,8.93,8.93,310.0
2019-10-28 09:58:00,8.92,8.92,8.92,8.92,122.0
2019-10-28 10:03:00,8.92,8.92,8.92,8.92,199.0
2019-10-28 10:04:00,8.93,8.93,8.93,8.93,200.0
2019-10-28 10:05:00,8.94,8.9499,8.94,8.9499,1500.0
2019-10-28 10:06:00,8.95,8.95,8.95,8.95,151.0
2019-10-28 10:07:00,8.94,8.94,8.94,8.94,275.0
2019-10-28 10:08:00,8.93,8.93,8.93,8.93,300.0
2019-10-28 10:11:00,8.92,8.92,8.92,8.92,100.0
2019-10-28 10:12:00,8.92,8.92,8.92,8.92,400.0
2019-10-28 10:15:00,8.93,8.93,8.93,8.93,225.0
2019-10-28 10:19:00,8.935,8.935,8.935,8.935,300.0
2019-10-28 10:21:00,8.94,8.94,8.94,8.94,200.0
2019-10-28 10:23:00,8.95,8.96,8.945,8.96,19400.0
2019-10-28 10:24:00,8.95,8.9517,8.95,8.9517,270.0
2019-10-28 10:25:00,8.955,8.97,8.955,8.97,21600.0
2019-10-28 10:26:00,8.97,8.97,8.97,8.97,2200.0
2019-10-28 10:27:00,8.95,8.95,8.95,8.95,300.0
2019-10-28 10:28:00,8.9414,8.96,8.9414,8.96,15356.0
2019-10-28 10:29:00,8.96,8.96,8.96,8.96,1200.0
2019-10-28 10:30:00,8.97,8.97,8.97,8.97,500.0
2019-10-28 10:32:00,8.9654,8.9654,8.965,8.965,670.0
2019-10-28 10:33:00,8.96,8.97,8.96,8.96,607.0
2019-10-28 10:34:00,8.95,8.955,8.95,8.955,900.0
2019-10-28 10:35:00,8.95,8.95,8.95,8.95,530.0
2019-10-28 10:37:00,8.965,8.965,8.965,8.965,500.0
2019-10-28 10:38:00,8.96,8.96,8.96,8.96,100.0
2019-10-28 10:40:00,8.97,8.97,8.97,8.97,400.0
2019-10-28 10:41:00,8.988,8.988,8.988,8.988,533.0
2019-10-28 10:42:00,8.9817,8.9817,8.9817,8.9817,140.0
2019-10-28 10:46:00,8.9984,8.9984,8.995,8.995,10124.0
2019-10-28 10:51:00,9.0026,9.0026,9.0026,9.0026,2027.0
2019-10-28 10:55:00,9.06,9.07,9.06,9.07,601.0
2019-10-28 10:57:00,9.04,9.075,9.04,9.075,200.0
2019-10-28 10:58:00,9.08,9.08,9.08,9.08,900.0
2019-10-28 10:59:00,9.07,9.08,9.07,9.07,3649.0
2019-10-28 11:00:00,9.08,9.08,9.08,9.08,2004.0
2019-10-28 11:03:00,9.07,9.07,9.07,9.07,1700.0
2019-10-28 11:05:00,9.07,9.07,9.07,9.07,11026.0
2019-10-28 11:06:00,9.07,9.07,9.07,9.07,100.0
2019-10-28 11:10:00,9.088,9.088,9.088,9.088,151.0
2019-10-28 11:13:00,9.09,9.09,9.09,9.09,442.0
2019-10-28 11:16:00,9.12,9.12,9.12,9.12,501.0
2019-10-28 11:18:00,9.1195,9.1195,9.1195,9.1195,3000.0
2019-10-28 11:20:00,9.136,9.136,9.1338,9.1358,2300.0
2019-10-28 11:21:00,9.13,9.135,9.13,9.135,503.0
2019-10-28 11:25:00,9.1216,9.1216,9.1216,9.1216,340.0
2019-10-28 11:27:00,9.12,9.12,9.12,9.12,3161.0
2019-10-28 11:36:00,9.11,9.11,9.11,9.11,151.0
2019-10-28 11:46:00,9.09,9.09,9.09,9.09,140.0
2019-10-28 11:49:00,9.11,9.11,9.1,9.1,600.0
2019-10-28 11:50:00,9.11,9.11,9.11,9.11,744.0
2019-10-28 12:08:00,9.1101,9.1101,9.1101,9.1101,502.0
2019-10-28 12:12:00,9.115,9.115,9.115,9.115,550.0
2019-10-28 12:14:00,9.11,9.11,9.11,9.11,140.0
2019-10-28 12:16:00,9.11,9.11,9.11,9.11,100.0
2019-10-28 12:18:00,9.11,9.11,9.11,9.11,119.0
2019-10-28 12:21:00,9.1118,9.1118,9.1118,9.1118,3226.0
2019-10-28 12:31:00,9.16,9.16,9.16,9.16,2935.0
2019-10-28 12:35:00,9.16,9.16,9.16,9.16,1340.0
2019-10-28 12:38:00,9.16,9.16,9.16,9.16,105.0
2019-10-28 12:45:00,9.1699,9.1699,9.1699,9.1699,536.0
2019-10-28 12:47:00,9.1599,9.1599,9.1599,9.1599,2700.0
2019-10-28 12:48:00,9.16,9.16,9.15,9.15,465.0
2019-10-28 12:49:00,9.15,9.15,9.15,9.15,345.0
2019-10-28 12:54:00,9.1377,9.1377,9.1377,9.1377,105.0
2019-10-28 12:57:00,9.12,9.1267,9.12,9.1267,2500.0
2019-10-28 12:59:00,9.13,9.13,9.13,9.13,136.0
2019-10-28 13:05:00,9.1273,9.1273,9.1273,9.1273,316.0
2019-10-28 13:32:00,9.1056,9.1056,9.1056,9.1056,1400.0
2019-10-28 13:41:00,9.0752,9.0752,9.0752,9.0752,500.0
2019-10-28 13:46:00,9.0978,9.0978,9.0978,9.0978,422.0
2019-10-28 14:00:00,9.09,9.09,9.09,9.09,278.0
2019-10-28 14:03:00,9.09,9.09,9.09,9.09,100.0
2019-10-28 14:04:00,9.09,9.09,9.09,9.09,300.0
2019-10-28 14:14:00,9.0997,9.0997,9.0997,9.0997,206.0
2019-10-28 14:35:00,9.08,9.08,9.08,9.08,538.0
2019-10-28 14:56:00,9.071,9.071,9.071,9.071,500.0
2019-10-28 15:08:00,9.07,9.07,9.07,9.07,100.0
2019-10-28 15:11:00,9.07,9.07,9.07,9.07,233.0
2019-10-28 15:12:00,9.05,9.05,9.05,9.05,510.0
2019-10-28 15:13:00,9.05,9.055,9.05,9.05,11516.0
2019-10-28 15:17:00,9.06,9.06,9.06,9.06,328.0
2019-10-28 15:46:00,9.1199,9.1199,9.1199,9.1199,150.0
2019-10-28 15:47:00,9.1198,9.1198,9.1198,9.1198,100.0
2019-10-28 15:50:00,9.12,9.12,9.12,9.12,848.0
2019-10-28 15:51:00,9.1155,9.1155,9.1155,9.1155,251.0
2019-10-28 15:57:00,9.12,9.12,9.1133,9.1133,3615.0
2019-10-28 15:59:00,9.12,9.12,9.12,9.12,410.0
2019-10-28 16:00:00,9.12,9.13,9.12,9.13,174607.0
2019-10-29 09:31:00,9.05,9.05,9.0305,9.0305,0.0
2019-10-29 09:34:00,9.02,9.02,9.02,9.02,559.0
2019-10-29 09:38:00,9.04,9.04,9.04,9.04,100.0
2019-10-29 09:40:00,9.04,9.04,9.04,9.04,700.0
2019-10-29 09:41:00,9.03,9.03,9.023,9.023,900.0
2019-10-29 09:42:00,9.03,9.03,9.03,9.03,100.0
2019-10-29 09:43:00,9.06,9.07,9.06,9.06,3137.0
2019-10-29 09:44:00,9.07,9.07,9.07,9.07,841.0
2019-10-29 09:47:00,9.05,9.0531,9.05,9.0531,5176.0
2019-10-29 09:55:00,9.08,9.08,9.08,9.08,2060.0
2019-10-29 09:58:00,9.08,9.08,9.08,9.08,288.0
2019-10-29 10:00:00,9.08,9.08,9.08,9.08,0.0
2019-10-29 10:01:00,9.08,9.08,9.08,9.08,62032.0
2019-10-29 10:02:00,9.08,9.09,9.08,9.09,11400.0
2019-10-29 10:03:00,9.08,9.08,9.0754,9.0754,300.0
2019-10-29 10:06:00,9.07,9.08,9.0699,9.08,900.0
2019-10-29 10:07:00,9.0772,9.08,9.0772,9.0799,1200.0
2019-10-29 10:08:00,9.08,9.08,9.075,9.075,3291.0
2019-10-29 10:09:00,9.07,9.07,9.07,9.07,200.0
2019-10-29 10:13:00,9.075,9.075,9.075,9.075,190.0
2019-10-29 10:14:00,9.07,9.07,9.07,9.07,720.0
2019-10-29 10:20:00,9.055,9.055,9.055,9.055,105.0
2019-10-29 10:21:00,9.05,9.05,9.05,9.05,1214.0
2019-10-29 10:26:00,9.04,9.04,9.04,9.04,100.0
2019-10-29 10:35:00,9.04,9.0432,9.04,9.04,1300.0
2019-10-29 10:36:00,9.04,9.04,9.04,9.04,105.0
2019-10-29 10:41:00,9.03,9.0309,9.03,9.0309,820.0
2019-10-29 10:42:00,9.03,9.03,9.03,9.03,400.0
2019-10-29 10:43:00,9.02,9.02,9.02,9.02,1160.0
2019-10-29 10:44:00,9.01,9.01,9.01,9.01,100.0
2019-10-29 10:46:00,9.01,9.01,9.01,9.01,400.0
2019-10-29 10:47:00,9.019,9.019,9.01,9.01,1300.0
2019-10-29 10:48:00,9.01,9.01,9.01,9.01,324.0
2019-10-29 10:50:00,9.0,9.0,9.0,9.0,6585.0
2019-10-29 10:51:00,8.99,8.99,8.99,8.99,200.0
2019-10-29 10:52:00,9.0,9.0,9.0,9.0,200.0
2019-10-29 10:55:00,9.0,9.0,9.0,9.0,203.0
2019-10-29 10:57:00,8.99,8.99,8.99,8.99,100.0
2019-10-29 10:58:00,8.99,8.99,8.99,8.99,200.0
2019-10-29 11:01:00,8.98,8.9827,8.975,8.98,3000.0
2019-10-29 11:02:00,8.98,8.98,8.98,8.98,100.0
2019-10-29 11:03:00,8.99,8.99,8.99,8.99,400.0
2019-10-29 11:04:00,8.99,8.99,8.99,8.99,3200.0
2019-10-29 11:07:00,8.99,8.99,8.99,8.99,3575.0
2019-10-29 11:13:00,8.9999,8.9999,8.9999,8.9999,2000.0
2019-10-29 11:16:00,9.0,9.0,9.0,9.0,300.0
2019-10-29 11:18:00,8.98,8.98,8.98,8.98,400.0
2019-10-29 11:21:00,9.0,9.0,9.0,9.0,322.0
2019-10-29 11:25:00,9.01,9.01,9.01,9.01,879.0
2019-10-29 11:27:00,9.0,9.0,9.0,9.0,100.0
2019-10-29 11:28:00,8.9901,8.9901,8.9901,8.9901,400.0
2019-10-29 11:30:00,9.0,9.0,9.0,9.0,1000.0
2019-10-29 11:31:00,8.998,8.998,8.99,8.99,1300.0
2019-10-29 11:34:00,8.99,8.99,8.99,8.99,500.0
2019-10-29 11:38:00,8.9958,8.9958,8.99,8.99,3040.0
2019-10-29 11:40:00,8.98,8.98,8.98,8.98,145.0
2019-10-29 11:42:00,8.98,8.98,8.9781,8.98,2010.0
2019-10-29 11:47:00,8.97,8.97,8.97,8.97,1196.0
2019-10-29 11:48:00,8.9754,8.9754,8.97,8.97,400.0
2019-10-29 11:50:00,8.97,8.97,8.97,8.97,4934.0
2019-10-29 11:51:00,8.965,8.965,8.96,8.96,824.0
2019-10-29 11:53:00,8.95,8.95,8.95,8.95,100.0
2019-10-29 12:00:00,8.96,9.0,8.96,9.0,5760.0
2019-10-29 12:01:00,9.0,9.0,8.99,8.99,606.0
2019-10-29 12:02:00,8.98,8.98,8.98,8.98,100.0
2019-10-29 12:03:00,8.96,8.96,8.95,8.95,2000.0
2019-10-29 12:04:00,8.95,8.95,8.95,8.95,1148.0
2019-10-29 12:05:00,8.98,8.98,8.98,8.98,152.0
2019-10-29 12:06:00,8.99,8.99,8.99,8.99,300.0
2019-10-29 12:07:00,8.99,8.99,8.99,8.99,1500.0
2019-10-29 12:10:00,8.97,8.97,8.97,8.97,172.0
2019-10-29 12:12:00,8.98,8.98,8.98,8.98,100.0
2019-10-29 12:26:00,8.9464,8.9464,8.9464,8.9464,300.0
2019-10-29 12:27:00,8.95,8.95,8.945,8.945,2294.0
2019-10-29 12:29:00,8.94,8.94,8.935,8.94,1501.0
2019-10-29 12:35:00,8.95,8.95,8.95,8.95,100.0
2019-10-29 12:37:00,8.96,8.96,8.96,8.96,200.0
2019-10-29 12:46:00,8.96,8.96,8.96,8.96,100.0
2019-10-29 12:47:00,8.96,8.96,8.96,8.96,120.0
2019-10-29 12:49:00,8.95,8.95,8.95,8.95,238.0
2019-10-29 12:53:00,8.9515,8.9515,8.9515,8.9515,1100.0
2019-10-29 12:56:00,8.96,8.965,8.955,8.965,1197.0
2019-10-29 12:58:00,8.96,8.96,8.96,8.96,640.0
2019-10-29 13:03:00,8.97,8.97,8.97,8.97,1500.0
2019-10-29 13:04:00,8.97,8.97,8.97,8.97,2400.0
2019-10-29 13:06:00,8.98,8.98,8.98,8.98,2500.0
2019-10-29 13:09:00,8.99,8.99,8.98,8.98,301.0
2019-10-29 13:15:00,8.9752,8.9752,8.9752,8.9752,290.0
2019-10-29 13:18:00,8.98,8.98,8.98,8.98,274.0
2019-10-29 13:19:00,8.98,8.98,8.98,8.98,299.0
2019-10-29 13:26:00,8.99,8.99,8.99,8.99,1402.0
2019-10-29 13:40:00,8.999,8.999,8.99,8.99,3200.0
2019-10-29 13:41:00,8.9896,8.9896,8.9896,8.9896,1000.0
2019-10-29 13:42:00,8.9896,8.9896,8.9896,8.9896,1000.0
2019-10-29 13:43:00,8.9898,8.9898,8.9898,8.9898,1000.0
2019-10-29 13:44:00,8.9898,8.9898,8.9898,8.9898,2000.0
2019-10-29 13:45:00,8.9898,8.9898,8.9898,8.9898,1054.0
2019-10-29 14:01:00,9.0,9.005,9.0,9.005,503.0
2019-10-29 14:02:00,9.01,9.01,9.01,9.01,356.0
2019-10-29 14:05:00,9.0027,9.0027,9.0,9.0,1101.0
2019-10-29 14:20:00,9.0,9.0,9.0,9.0,500.0
2019-10-29 14:24:00,9.01,9.01,9.01,9.01,100.0
2019-10-29 14:28:00,9.01,9.01,9.01,9.01,400.0
2019-10-29 14:29:00,9.01,9.01,9.01,9.01,100.0
2019-10-29 14:30:00,9.01,9.01,9.01,9.01,1900.0
2019-10-29 14:32:00,9.01,9.01,9.01,9.01,250.0
2019-10-29 14:39:00,9.0,9.0,9.0,9.0,391.0
2019-10-29 15:06:00,9.015,9.015,9.01,9.01,300.0
2019-10-29 15:11:00,9.0,9.0,9.0,9.0,245.0
2019-10-29 15:12:00,9.0,9.0,9.0,9.0,2000.0
2019-10-29 15:14:00,8.9999,8.9999,8.9999,8.9999,2200.0
2019-10-29 15:16:00,9.0,9.0,9.0,9.0,263.0
2019-10-29 15:20:00,9.0,9.0,9.0,9.0,400.0
2019-10-29 15:23:00,9.0,9.0,9.0,9.0,100.0
2019-10-29 15:25:00,9.0,9.0,9.0,9.0,100.0
2019-10-29 15:27:00,8.99,8.99,8.99,8.99,502.0
2019-10-29 15:32:00,9.005,9.01,9.005,9.01,1328.0
2019-10-29 15:34:00,9.01,9.01,9.01,9.01,594.0
2019-10-29 15:38:00,9.015,9.02,9.015,9.02,3594.0
2019-10-29 15:41:00,9.0195,9.0195,9.0195,9.0195,155.0
2019-10-29 15:54:00,9.02,9.02,9.02,9.02,122.0
2019-10-29 15:56:00,9.0199,9.0199,9.01,9.01,332.0
2019-10-29 15:59:00,9.01,9.01,9.01,9.01,1153.0
2019-10-29 16:00:00,9.03,9.03,9.02,9.03,183057.0
2019-10-30 09:31:00,8.9,8.9,8.9,8.9,0.0
2019-10-30 09:32:00,8.88,8.9,8.88,8.89,1907.0
2019-10-30 09:35:00,8.908,8.908,8.908,8.908,1054.0
2019-10-30 09:36:00,8.91,8.91,8.91,8.91,246.0
2019-10-30 09:39:00,8.93,8.9315,8.93,8.9315,880.0
2019-10-30 09:42:00,8.92,8.92,8.92,8.92,149.0
2019-10-30 09:45:00,8.91,8.91,8.91,8.91,1022.0
2019-10-30 09:46:00,8.9127,8.9127,8.9,8.9015,5077.0
2019-10-30 09:48:00,8.92,8.92,8.92,8.92,100.0
2019-10-30 09:52:00,8.9,8.9,8.9,8.9,400.0
2019-10-30 09:55:00,8.8999,8.8999,8.8999,8.8999,500.0
2019-10-30 09:57:00,8.9166,8.9286,8.9148,8.9166,859.0
2019-10-30 09:58:00,8.9097,8.9097,8.9097,8.9097,568.0
2019-10-30 09:59:00,8.9,8.9,8.9,8.9,158.0
2019-10-30 10:02:00,8.8956,8.8956,8.8956,8.8956,200.0
2019-10-30 10:03:00,8.91,8.91,8.91,8.91,790.0
2019-10-30 10:05:00,8.9502,8.957,8.927,8.9302,2960.0
2019-10-30 10:06:00,8.91,8.91,8.91,8.91,797.0
2019-10-30 10:09:00,8.89,8.89,8.89,8.89,239.0
2019-10-30 10:10:00,8.88,8.88,8.88,8.88,1181.0
2019-10-30 10:11:00,8.88,8.88,8.88,8.88,100.0
2019-10-30 10:14:00,8.89,8.89,8.89,8.89,204.0
2019-10-30 10:16:00,8.89,8.89,8.89,8.89,110.0
2019-10-30 10:21:00,8.88,8.88,8.8781,8.88,1520.0
2019-10-30 10:32:00,8.91,8.91,8.91,8.91,650.0
2019-10-30 10:35:00,8.91,8.92,8.91,8.92,8800.0
2019-10-30 10:36:00,8.905,8.905,8.9,8.9,405.0
2019-10-30 10:37:00,8.895,8.895,8.89,8.89,601.0
2019-10-30 10:39:00,8.885,8.885,8.88,8.88,1000.0
2019-10-30 10:40:00,8.8802,8.8886,8.8786,8.8802,592.0
2019-10-30 10:41:00,8.87,8.87,8.87,8.87,3435.0
2019-10-30 10:44:00,8.8797,8.8797,8.8797,8.8797,192.0
2019-10-30 10:45:00,8.875,8.88,8.875,8.88,900.0
2019-10-30 10:46:00,8.88,8.88,8.88,8.88,279.0
2019-10-30 10:47:00,8.87,8.87,8.86,8.86,579.0
2019-10-30 10:48:00,8.8581,8.86,8.8581,8.86,750.0
2019-10-30 10:49:00,8.86,8.86,8.86,8.86,201.0
2019-10-30 10:52:00,8.865,8.865,8.86,8.86,250.0
2019-10-30 10:54:00,8.8503,8.8586,8.8486,8.8503,1666.0
2019-10-30 10:55:00,8.8573,8.8573,8.8573,8.8573,100.0
2019-10-30 10:58:00,8.8695,8.8695,8.8695,8.8695,225.0
2019-10-30 10:59:00,8.87,8.87,8.87,8.87,100.0
2019-10-30 11:00:00,8.87,8.87,8.87,8.87,125.0
2019-10-30 11:02:00,8.88,8.88,8.88,8.88,500.0
2019-10-30 11:04:00,8.88,8.89,8.875,8.875,12449.0
2019-10-30 11:06:00,8.87,8.87,8.87,8.87,600.0
2019-10-30 11:09:00,8.87,8.87,8.87,8.87,100.0
2019-10-30 11:10:00,8.866,8.866,8.866,8.866,100.0
2019-10-30 11:12:00,8.87,8.87,8.86,8.86,3920.0
2019-10-30 11:13:00,8.855,8.855,8.84,8.84,7520.0
2019-10-30 11:14:00,8.84,8.84,8.84,8.84,103.0
2019-10-30 11:19:00,8.84,8.84,8.8399,8.84,620.0
2019-10-30 11:21:00,8.85,8.85,8.85,8.85,1000.0
2019-10-30 11:22:00,8.85,8.85,8.85,8.85,1300.0
2019-10-30 11:24:00,8.8498,8.8498,8.8498,8.8498,1195.0
2019-10-30 11:25:00,8.86,8.86,8.86,8.86,440.0
2019-10-30 11:27:00,8.85,8.85,8.85,8.85,900.0
2019-10-30 11:28:00,8.85,8.855,8.85,8.855,500.0
2019-10-30 11:29:00,8.85,8.85,8.85,8.85,2060.0
2019-10-30 11:32:00,8.84,8.85,8.84,8.845,1429.0
2019-10-30 11:34:00,8.845,8.845,8.845,8.845,170.0
2019-10-30 11:36:00,8.845,8.845,8.84,8.84,2090.0
2019-10-30 11:38:00,8.85,8.86,8.85,8.86,4545.0
2019-10-30 11:39:00,8.86,8.86,8.86,8.86,1300.0
2019-10-30 11:43:00,8.86,8.86,8.86,8.86,3355.0
2019-10-30 11:44:00,8.86,8.86,8.86,8.86,198.0
2019-10-30 11:48:00,8.85,8.86,8.85,8.85,1467.0
2019-10-30 11:49:00,8.84,8.84,8.84,8.84,200.0
2019-10-30 11:53:00,8.835,8.835,8.83,8.83,786.0
2019-10-30 11:54:00,8.83,8.83,8.83,8.83,2500.0
2019-10-30 11:59:00,8.8253,8.8253,8.82,8.82,810.0
2019-10-30 12:01:00,8.82,8.82,8.82,8.82,2410.0
2019-10-30 12:06:00,8.81,8.81,8.8,8.8,3337.0
2019-10-30 12:08:00,8.805,8.805,8.805,8.805,600.0
