TVIX
time,open,high,low,close,volume
2019-10-28 09:31:00,9.11,9.11,9.11,9.11,1392676.0
2019-10-28 09:32:00,9.1202,9.1488,9.1098,9.1204,110149.0
2019-10-28 09:33:00,9.12,9.14,9.12,9.125,177329.0
2019-10-28 09:34:00,9.1292,9.15,9.1292,9.15,164869.0
2019-10-28 09:35:00,9.155,9.155,9.15,9.15,146845.0
2019-10-28 09:36:00,9.1488,9.1488,9.133,9.133,260404.0
2019-10-28 09:37:00,9.13,9.139,9.1253,9.1253,204452.0
2019-10-28 09:38:00,9.125,9.14,9.125,9.14,76908.0
2019-10-28 09:39:00,9.14,9.1652,9.14,9.1652,72613.0
2019-10-28 09:40:00,9.1666,9.169,9.16,9.169,92827.0
2019-10-28 09:41:00,9.17,9.17,9.16,9.1602,58522.0
2019-10-28 09:42:00,9.1627,9.1677,9.1627,9.1677,126552.0
2019-10-28 09:43:00,9.17,9.1898,9.17,9.1742,301936.0
2019-10-28 09:44:00,9.19,9.23,9.19,9.23,210912.0
2019-10-28 09:45:00,9.235,9.24,9.2335,9.24,54320.0
2019-10-28 09:46:00,9.2335,9.2335,9.2141,9.2141,181060.0
2019-10-28 09:47:00,9.2202,9.23,9.2202,9.23,39110.0
2019-10-28 09:48:00,9.2247,9.2538,9.2247,9.2538,103813.0
2019-10-28 09:49:00,9.2702,9.298,9.253,9.2842,92535.0
2019-10-28 09:50:00,9.2997,9.31,9.2997,9.31,135569.0
2019-10-28 09:51:00,9.3065,9.3353,9.3,9.3353,7605.0
2019-10-28 09:52:00,9.33,9.34,9.33,9.3365,178379.0
2019-10-28 09:53:00,9.3353,9.3353,9.31,9.31,7383.0
2019-10-28 09:54:00,9.305,9.31,9.27,9.27,217010.0
2019-10-28 09:55:00,9.28,9.2947,9.28,9.29,55899.0
2019-10-28 09:56:00,9.2935,9.2953,9.2935,9.2953,81888.0
2019-10-28 09:57:00,9.2947,9.2956,9.2947,9.2956,17994.0
2019-10-28 09:58:00,9.2984,9.2984,9.2854,9.2854,52797.0
2019-10-28 09:59:00,9.28,9.29,9.27,9.27,92666.0
2019-10-28 10:00:00,9.28,9.29,9.26,9.26,67274.0
2019-10-28 10:01:00,9.2602,9.268,9.248,9.2602,170872.0
2019-10-28 10:02:00,9.2653,9.279,9.239,9.2488,105171.0
2019-10-28 10:03:00,9.2454,9.2689,9.2394,9.2405,38297.0
2019-10-28 10:04:00,9.2404,9.2789,9.2388,9.2703,41890.0
2019-10-28 10:05:00,9.263,9.28,9.26,9.2716,31380.0
2019-10-28 10:06:00,9.28,9.3,9.28,9.29,53105.0
2019-10-28 10:07:00,9.29,9.29,9.2762,9.2842,62592.0
2019-10-28 10:08:00,9.2882,9.3,9.28,9.285,74252.0
2019-10-28 10:09:00,9.2903,9.3086,9.2837,9.2869,50704.0
2019-10-28 10:10:00,9.2902,9.3081,9.288,9.2902,24518.0
2019-10-28 10:11:00,9.2903,9.3061,9.289,9.2903,33121.0
2019-10-28 10:12:00,9.2989,9.3,9.285,9.29,28070.0
2019-10-28 10:13:00,9.285,9.29,9.28,9.29,18786.0
2019-10-28 10:14:00,9.2801,9.29,9.28,9.29,34522.0
2019-10-28 10:15:00,9.29,9.33,9.29,9.32,183765.0
2019-10-28 10:16:00,9.3101,9.33,9.31,9.31,138172.0
2019-10-28 10:17:00,9.3102,9.3474,9.3073,9.3302,114061.0
2019-10-28 10:18:00,9.34,9.35,9.32,9.3248,124697.0
2019-10-28 10:19:00,9.3203,9.3287,9.3086,9.3203,36990.0
2019-10-28 10:20:00,9.32,9.33,9.3151,9.3164,47849.0
2019-10-28 10:21:00,9.315,9.32,9.3,9.3,52183.0
2019-10-28 10:22:00,9.3,9.31,9.3,9.3099,55546.0
2019-10-28 10:23:00,9.3,9.316,9.3,9.316,18383.0
2019-10-28 10:24:00,9.31,9.33,9.31,9.3265,18426.0
2019-10-28 10:25:00,9.33,9.34,9.3228,9.337,32088.0
2019-10-28 10:26:00,9.336,9.3474,9.3273,9.3401,44324.0
2019-10-28 10:27:00,9.335,9.34,9.3254,9.33,41339.0
2019-10-28 10:28:00,9.3319,9.34,9.33,9.3357,9216.0
2019-10-28 10:29:00,9.335,9.3773,9.33,9.3773,95808.0
2019-10-28 10:30:00,9.3754,9.389,9.369,9.3754,38702.0
2019-10-28 10:31:00,9.376,9.39,9.37,9.39,70207.0
2019-10-28 10:32:00,9.3844,9.3844,9.33,9.335,117048.0
2019-10-28 10:33:00,9.33,9.35,9.32,9.32,125960.0
2019-10-28 10:34:00,9.31,9.323,9.31,9.31,114353.0
2019-10-28 10:35:00,9.3103,9.3373,9.3073,9.3302,46325.0
2019-10-28 10:36:00,9.3303,9.3588,9.3287,9.3503,90207.0
2019-10-28 10:37:00,9.35,9.35,9.34,9.34,66416.0
2019-10-28 10:38:00,9.34,9.35,9.3358,9.3458,57628.0
2019-10-28 10:39:00,9.3461,9.36,9.34,9.3551,52181.0
2019-10-28 10:40:00,9.3539,9.41,9.3523,9.4066,239164.0
2019-10-28 10:41:00,9.405,9.42,9.4,9.41,117154.0
2019-10-28 10:42:00,9.41,9.42,9.38,9.38,150759.0
2019-10-28 10:43:00,9.38,9.38,9.37,9.37,58962.0
2019-10-28 10:44:00,9.3799,9.3799,9.33,9.3319,157301.0
2019-10-28 10:45:00,9.335,9.35,9.33,9.34,88245.0
2019-10-28 10:46:00,9.34,9.35,9.335,9.345,35794.0
2019-10-28 10:47:00,9.3461,9.36,9.34,9.343,23132.0
2019-10-28 10:48:00,9.3403,9.3591,9.3391,9.3403,34167.0
2019-10-28 10:49:00,9.3313,9.34,9.33,9.34,12933.0
2019-10-28 10:50:00,9.3353,9.35,9.33,9.35,44614.0
2019-10-28 10:51:00,9.35,9.38,9.35,9.36,57476.0
2019-10-28 10:52:00,9.3518,9.3699,9.35,9.365,62167.0
2019-10-28 10:53:00,9.37,9.38,9.36,9.3601,76606.0
2019-10-28 10:54:00,9.365,9.39,9.365,9.38,73329.0
2019-10-28 10:55:00,9.3903,9.4087,9.3887,9.3903,131720.0
2019-10-28 10:56:00,9.395,9.3954,9.36,9.36,74181.0
2019-10-28 10:57:00,9.3603,9.3791,9.3597,9.3703,76799.0
2019-10-28 10:58:00,9.37,9.38,9.35,9.355,57723.0
2019-10-28 10:59:00,9.3566,9.36,9.35,9.36,20034.0
